//X,Y,Z,Normal change rate (0.022287)
-0.03122160,0.12630400,0.00514924,0.025264
-0.04467740,0.13120399,0.00570479,0.107147
-0.06830110,0.14482801,0.04136880,0.039670
-0.00600095,0.13039801,0.01789860,0.015071
-0.01735680,0.12761299,0.00526885,0.014980
0.03305130,0.10703400,0.03195430,0.010582
0.04008730,0.10521000,0.01734190,0.010827
-0.03018020,0.10632200,0.03997450,0.006312
0.03041930,0.11857200,0.01880680,0.011032
-0.06408220,0.15939100,-0.01690960,0.160467
0.04470460,0.09278770,0.00507585,0.006697
-0.03167540,0.17039500,-0.00635023,0.115785
-0.08485230,0.13407800,0.04701770,0.055635
-0.06885470,0.12205200,0.05175690,0.056743
0.00595475,0.13102400,0.01782520,0.015032
0.04046290,0.10514200,0.00640978,0.010675
0.03873420,0.10216100,-0.00463112,0.013433
-0.09145130,0.13413601,0.01710260,0.011171
-0.08187210,0.10716600,0.03101600,0.061047
-0.06721800,0.15615501,0.01788630,0.051389
-0.07956870,0.15287501,0.02993110,0.028501
0.00596007,0.12250400,0.03462720,0.018814
-0.05163170,0.14500099,0.01848040,0.058650
-0.07797810,0.13255000,0.05134940,0.074000
-0.00590708,0.12793399,0.02746230,0.018735
-0.04791330,0.12930100,0.02696460,0.064184
-0.08242700,0.09281340,-0.00556046,0.012700
0.01744000,0.12769400,0.01853480,0.015303
-0.09068680,0.12030500,0.00668040,0.026442
-0.02940380,0.17903000,-0.00787959,0.110960
-0.07978910,0.14376000,0.04269940,0.059293
-0.01828800,0.10832900,0.04150980,0.005292
-0.02023260,0.18184599,-0.01832740,0.047766
-0.03770390,0.16798700,-0.01303910,0.114075
0.00582164,0.12806000,0.02790160,0.022268
-0.04353890,0.13001400,0.01753330,0.064465
0.01886990,0.11986200,0.03240900,0.015987
-0.04401010,0.16703500,0.00231898,0.133712
-0.08981100,0.13240100,0.00705743,0.008285
-0.05735200,0.14498900,0.03151960,0.029813
0.04426220,0.09345260,0.01764170,0.005829
0.04123430,0.09217310,0.02856030,0.008956
-0.05639530,0.15456501,0.01687800,0.109671
-0.02061350,0.15977301,-0.00717522,0.134418
-0.07298930,0.06561160,0.01816930,0.011080
-0.06739670,0.15525600,0.00581389,0.082080
-0.09048640,0.11861100,0.04121480,0.045250
0.02731420,0.11796500,0.02861910,0.013947
0.04190700,0.09163860,-0.00556945,0.012063
-0.07021090,0.16530301,-0.01946610,0.131496
-0.00618470,0.12272900,0.03478700,0.017834
0.03001380,0.09327860,0.04214760,0.007099
-0.01751290,0.16212600,-0.01454890,0.097265
-0.07639770,0.17129099,-0.04110210,0.055813
-0.08542270,0.10538600,0.00339486,0.041462
0.03704310,0.11044300,0.02072290,0.014793
-0.00659732,0.04272850,0.04693910,0.139713
0.00639794,0.04370060,0.04682600,0.068342
-0.05592470,0.15760601,0.00656455,0.201596
-0.09114490,0.11881600,0.02984420,0.028453
-0.05951090,0.12835200,0.03996260,0.009079
-0.01763350,0.12760501,0.01793660,0.016738
-0.06663300,0.15383101,0.03087030,0.055637
-0.04364180,0.16943800,-0.00550226,0.119241
-0.05727590,0.04324300,0.04286200,0.154242
-0.07637730,0.15722100,-0.01688890,0.132596
-0.04344610,0.15605000,0.00615795,0.153211
-0.04271180,0.04216450,0.04270040,0.165568
-0.02542010,0.08866220,0.05038270,0.019876
-0.01417900,0.12627000,0.02664170,0.014944
-0.08825820,0.08986870,0.00696625,0.018404
-0.06886950,0.15777300,-0.00687593,0.176683
-0.06796760,0.14287700,-0.00757643,0.238737
0.01885380,0.10629300,0.04169020,0.004069
-0.03648700,0.17122500,0.00054504,0.119667
-0.06643520,0.11719800,-0.00987161,0.019046
-0.06826060,0.17039800,-0.04369950,0.077750
-0.09092500,0.14605001,0.01903820,0.019311
0.00678622,0.11584100,0.03880770,0.004978
0.03101390,0.09306960,-0.01779800,0.010532
0.00569760,0.10589000,0.04355110,0.002779
-0.07065190,0.13063000,0.05024970,0.077125
0.00597460,0.13085800,0.00579479,0.016238
0.01842170,0.04231820,0.04247700,0.047817
0.01478760,0.09097470,0.05096580,0.010972
-0.00598232,0.11540900,0.04020270,0.009324
-0.08113120,0.11797200,-0.00359453,0.015927
-0.07870320,0.14427400,-0.00389052,0.149832
0.00581988,0.10622600,-0.02089680,0.004856
-0.01927610,0.11985300,0.03280610,0.014570
-0.00593116,0.13021500,0.00595400,0.013172
-0.08933220,0.14274500,0.02903260,0.018845
-0.00762538,0.12327300,-0.00981555,0.016706
-0.06922630,0.17892200,-0.05427430,0.078506
-0.02987570,0.12425200,0.02096740,0.051148
-0.08482660,0.14898700,0.03276970,0.043735
-0.08885160,0.09097230,0.01790340,0.015259
-0.03058790,0.12238400,-0.00635771,0.033136
-0.03071980,0.11798900,0.03061660,0.026728
-0.07806120,0.12065300,0.05139990,0.074541
0.03327140,0.10849800,-0.00743195,0.010052
-0.06771120,0.09289180,-0.01688140,0.011796
-0.07566600,0.09118170,-0.01369670,0.016621
-0.08242200,0.09511210,0.03108780,0.025710
-0.08569840,0.13690300,0.00192122,0.019581
-0.02928040,0.04177470,0.05139700,0.130917
-0.01773200,0.04238640,0.05168400,0.110209
-0.06569870,0.17100701,-0.05664400,0.083784
-0.02985230,0.17090499,-0.01656090,0.089510
-0.05625020,0.13501300,0.03304550,0.017785
-0.06661270,0.13302100,0.04470440,0.029382
-0.04253790,0.15544100,-0.00749353,0.165139
-0.05453080,0.07146030,0.03970420,0.021572
-0.04131590,0.09069230,-0.02258810,0.040971
-0.01728760,0.09217740,0.05362120,0.024882
-0.00598119,0.09403080,0.05426430,0.011915
0.04237240,0.06725630,0.02958010,0.032438
0.02857410,0.11690900,-0.00391772,0.013616
-0.03318110,0.04507440,0.04511460,0.116673
-0.05394020,0.11856600,0.03537310,0.039484
0.04227240,0.07955460,-0.00579461,0.019648
0.02972730,0.04255020,0.03049750,0.032428
-0.03156390,0.09593310,-0.02368010,0.034690
0.03818040,0.10512100,0.02669470,0.013753
-0.02849880,0.09049200,-0.02908540,0.025316
-0.01731890,0.04379420,0.04326950,0.222360
0.00376754,0.04775510,0.05020370,0.009682
0.04326730,0.04582910,0.02782510,0.035553
-0.02333220,0.18123899,-0.01128930,0.072821
-0.00562580,0.05650380,0.05388180,0.034985
0.00529431,0.05567980,0.05328810,0.013868
-0.08832190,0.10575700,0.01729830,0.030096
-0.05663740,0.04701840,0.03058090,0.144852
-0.02962430,0.05431880,0.03989510,0.142636
-0.00597407,0.10589700,0.04406690,0.005837
-0.02141220,0.05469760,0.04464100,0.085606
-0.01614880,0.05743630,0.05090400,0.051479
-0.05683050,0.14639200,-0.00264260,0.183961
-0.09314660,0.11906700,0.01799480,0.021587
-0.06186200,0.15841700,-0.02930260,0.138023
-0.08558580,0.10684000,0.02172900,0.040145
0.03366420,0.05405430,0.03508410,0.025286
0.04277100,0.05603510,0.03155900,0.031622
-0.04345890,0.11719100,0.03170440,0.039737
-0.06809620,0.15672100,-0.04261740,0.079922
0.02723840,0.10315600,0.03970580,0.013607
-0.02939320,0.17853600,-0.01455630,0.101329
-0.07626970,0.09122450,0.03834190,0.028833
-0.01912850,0.09859520,0.04566760,0.007635
-0.05309100,0.05674020,0.02939630,0.145779
-0.04319780,0.05557770,0.03908380,0.051425
-0.08330550,0.11564300,0.04682800,0.052771
0.01443450,0.12708101,0.02629700,0.022784
-0.03889130,0.12376100,0.02497780,0.060693
-0.05943590,0.11990500,0.03997560,0.059683
-0.07023320,0.15426201,-0.03124010,0.125023
-0.05744730,0.15257600,0.02845080,0.065044
-0.04800380,0.05636600,0.03626630,0.138268
